iter	RMSE
0	0.9285539043
1	0.8660596797
2	0.8117959413
3	0.7647582214
4	0.7239135701
5	0.688785508
6	0.6589887784
7	0.633260239
8	0.6115741511
9	0.5930684365
10	0.5771582406
11	0.5637753849
12	0.5523981124
13	0.5427728491
14	0.5344551944
15	0.5270407349
16	0.5209383083
17	0.515398607
18	0.5105632879
19	0.5067220148
20	0.5032457075
21	0.5000441436
22	0.4973699081
23	0.4950403866
24	0.4926406177
25	0.4909098962
26	0.4886003562
27	0.4868026483
28	0.4850722782
29	0.4839860626
30	0.48262075
31	0.4811502331
32	0.4800541833
33	0.4788810766
34	0.4778811725
35	0.476837213
36	0.475722776
37	0.474015265
38	0.4731390272
39	0.4720522889
40	0.4714540569
41	0.4706337475
42	0.4693571988
43	0.4682764063
44	0.4673617024
45	0.4667002218
46	0.4661063109
47	0.4653637063
48	0.4648190181
49	0.4641936755
50	0.4635106739
51	0.4629539113
52	0.4623547749
53	0.4618127986
54	0.4612362056
55	0.4605876159
56	0.4599505288
57	0.459678676
58	0.4590553482
59	0.458539514
60	0.4581119114
61	0.4573724217
62	0.4569283028
63	0.4565922901
64	0.4561430511
65	0.4557770541
66	0.455422055
67	0.4550238725
68	0.4545325627
69	0.4540029357
70	0.4535721894
71	0.4531180508
72	0.4528289221
73	0.4525491417
74	0.4521280246
75	0.451795077
76	0.4514584397
77	0.4511445609
78	0.450867127
79	0.4504778373
80	0.4502247522
81	0.449717471
82	0.4495038533
83	0.4492070573
84	0.4489550377
85	0.4486973697
86	0.4483651842
87	0.4481048171
88	0.4477605329
89	0.4474242758
90	0.4471095592
91	0.4468126762
92	0.4463679015
93	0.4460983616
94	0.4458445852
95	0.4454072108
96	0.4452022618
97	0.4449473621
98	0.4446767935
99	0.4443455581
100	0.4440980551
101	0.4437866992
102	0.4433753887
103	0.4430857067
104	0.4425797322
105	0.4423250322
106	0.4419999703
107	0.4414477447
108	0.4410309764
109	0.4407373499
110	0.4404979
111	0.4402872856
112	0.4399990526
113	0.4398257852
114	0.4396686849
115	0.4393086407
116	0.4389852096
117	0.4387856722
118	0.438525296
119	0.4382178711
120	0.4378416033
121	0.437403242
122	0.4371436536
123	0.4369263482
124	0.43668353
125	0.4363195417
126	0.4360858504
127	0.4358687878
128	0.4356062142
129	0.4352815803
130	0.4349712485
131	0.4348319846
132	0.4345375905
133	0.4343171719
134	0.4341591945
135	0.4339322423
136	0.4337104383
137	0.4335058499
138	0.4331754248
139	0.4328719459
140	0.4325506728
141	0.4322923789
142	0.4318849399
143	0.4316750958
144	0.4314319531
145	0.431197676
146	0.4308994541
147	0.4307359384
148	0.4305176328
149	0.4303231594
150	0.4300689058
