iter	Passed	Remaining
0	468	936736
1	781	780304
2	1042	693917
3	1301	649534
4	1562	623611
5	1827	607383
6	2121	604144
7	2422	603263
8	2701	597717
9	2969	591002
10	3229	583912
11	3496	579226
12	3758	574469
13	4006	568398
14	4277	566046
15	4547	563851
16	4797	559612
17	5046	555654
18	5321	554868
19	5598	554259
20	5873	553483
21	6126	550859
22	6367	547309
23	6610	544299
24	6850	541186
25	7096	538758
26	7331	535718
27	7576	533568
28	7831	532285
29	8061	529395
30	8305	527520
31	8543	525431
32	8778	523264
33	9027	522023
34	9278	520920
35	9521	519450
36	9769	518288
37	9998	516215
38	10261	515975
39	10517	515371
40	10760	514163
41	10991	512435
42	11244	511743
43	11484	510526
44	11726	509432
45	11967	508342
46	12220	507814
47	12461	506774
48	12701	505732
49	12943	504778
50	13188	504007
51	13447	503769
52	13720	504050
53	13996	504391
54	14244	503726
55	14490	503028
56	14734	502271
57	14980	501593
58	15225	500902
59	15482	500612
60	15715	499560
61	15962	498943
62	16221	498761
63	16468	498165
64	16715	497594
65	16982	497632
66	17224	496926
67	17459	496043
68	17692	495144
69	17952	494972
70	18197	494413
71	18449	494036
72	18693	493450
73	18943	493051
74	19203	492880
75	19455	492523
76	19722	492551
77	19951	491613
78	20192	491012
79	20442	490630
80	20685	490059
81	20914	489191
82	21155	488619
83	21401	488153
84	21652	487815
85	21924	487949
86	22174	487579
87	22424	487219
88	22686	487129
89	22941	486865
90	23194	486583
91	23452	486391
92	23684	485665
93	23954	485716
94	24211	485514
95	24482	485577
96	24732	485221
97	24998	485177
98	25272	485276
99	25540	485265
100	25803	485150
101	26066	485048
102	26311	484586
103	26589	484739
104	26845	484504
105	27098	484190
106	27376	484338
107	27630	484038
108	27908	484166
109	28163	483901
110	28441	484024
111	28698	483772
112	28950	483449
113	29201	483104
114	29455	482811
115	29715	482619
116	29955	482110
117	30207	481791
118	30459	481470
119	30710	481138
120	30984	481157
121	31221	480607
122	31478	480368
123	31727	479999
124	31974	479623
125	32231	479378
126	32484	479075
127	32744	478885
128	32985	478423
129	33233	478051
130	33479	477652
131	33724	477256
132	33983	477045
133	34236	476750
134	34497	476579
135	34747	476247
136	35021	476242
137	35278	476004
138	35540	475828
139	35779	475349
140	36027	475000
141	36264	474500
142	36518	474230
143	36765	473863
144	37008	473456
145	37278	473391
146	37533	473127
147	37793	472935
148	38046	472639
149	38299	472357
150	38535	471873
151	38788	471592
152	39036	471248
153	39285	470910
154	39545	470720
155	39782	470253
156	40032	469930
157	40292	469741
158	40557	469602
159	40819	469422
160	41055	468955
161	41280	468352
162	41519	467922
163	41754	467441
164	41992	467006
165	42239	466664
166	42475	466215
167	42721	465865
168	42971	465569
169	43209	465135
170	43447	464706
171	43688	464322
172	43941	464056
173	44194	463791
174	44439	463440
175	44688	463138
176	44929	462745
177	45167	462333
178	45412	461994
179	45657	461644
180	45895	461240
181	46149	460990
182	46391	460618
183	46647	460385
184	46905	460180
185	47160	459946
186	47406	459616
187	47667	459432
188	47921	459179
189	48155	458741
190	48407	458479
191	48658	458201
192	48892	457767
193	49130	457366
194	49361	456913
195	49608	456600
196	49853	456271
197	50102	455985
198	50355	455728
199	50605	455448
200	50839	455022
201	51078	454652
202	51327	454365
203	51599	454278
204	51847	453984
205	52093	453672
206	52362	453551
207	52605	453220
208	52853	452921
209	53116	452758
210	53358	452412
211	53601	452072
212	53843	451725
213	54094	451465
214	54360	451317
215	54611	451051
216	54849	450678
217	55101	450413
218	55344	450086
219	55580	449696
220	55812	449277
221	56047	448883
222	56288	448541
223	56529	448200
224	56781	447939
225	57020	447584
226	57269	447310
227	57521	447054
228	57762	446712
229	58015	446468
230	58284	446344
231	58524	445999
232	58771	445707
233	59020	445426
234	59255	445043
235	59528	444951
236	59778	444679
237	60033	444449
238	60296	444278
239	60536	443932
240	60787	443674
241	61038	443414
242	61303	443254
243	61544	442916
244	61795	442656
245	62045	442389
246	62293	442106
247	62539	441810
248	62785	441515
249	63026	441187
250	63275	440909
251	63516	440581
252	63762	440289
253	64039	440211
254	64286	439920
255	64538	439670
256	64817	439602
257	65057	439260
258	65309	439011
259	65553	438706
260	65806	438458
261	66066	438257
262	66313	437970
263	66549	437614
264	66781	437226
265	67017	436876
266	67285	436728
267	67537	436475
268	67803	436312
269	68058	436077
270	68299	435753
271	68552	435509
272	68784	435128
273	69036	434877
274	69292	434653
275	69532	434325
276	69784	434077
277	70018	433713
278	70261	433405
279	70512	433148
280	70755	432839
281	70999	432540
282	71248	432274
283	71489	431959
284	71757	431801
285	72004	431523
286	72271	431361
287	72520	431093
288	72780	430892
289	73029	430621
290	73275	430333
291	73520	430042
292	73801	429963
293	74057	429732
294	74299	429426
295	74555	429197
296	74799	428899
297	75046	428623
298	75295	428354
299	75540	428064
300	75771	427693
301	76004	427336
302	76244	427021
303	76493	426754
304	76741	426483
305	76991	426221
306	77232	425909
307	77477	425622
308	77725	425354
309	77981	425125
310	78245	424939
311	78509	424758
312	78743	424408
313	78990	424134
314	79240	423873
315	79483	423575
316	79725	423276
317	79966	422968
318	80219	422725
319	80477	422506
320	80719	422203
321	80958	421887
322	81208	421630
323	81441	421282
324	81682	420978
325	81930	420708
326	82173	420418
327	82410	420092
328	82658	419822
329	82909	419572
330	83157	419305
331	83408	419050
332	83659	418798
333	83909	418542
334	84153	418253
335	84393	417947
336	84622	417589
337	84875	417344
338	85126	417096
339	85380	416856
340	85635	416624
341	85893	416407
342	86137	416124
343	86376	415813
344	86616	415508
345	86862	415230
346	87107	414953
347	87350	414666
348	87593	414376
349	87837	414092
350	88091	413852
351	88330	413548
352	88592	413347
353	88839	413079
354	89099	412867
355	89341	412576
